noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date,text
0011 - Legislators,,Newfoundland and Labrador,0011,Legislators,0,,,,2016,44335.0,96129.0,155370.0,96104.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>155370.0<br><b>Median wage: </b>96129.0<br><b>Min wage: </b>44335.0<br>
0011 - Legislators,,Nova Scotia,0011,Legislators,0,,,,2016,28642.0,89651.0,143890.0,88139.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>143890.0<br><b>Median wage: </b>89651.0<br><b>Min wage: </b>28642.0<br>
0011 - Legislators,,New Brunswick,0011,Legislators,0,,,,2016,28958.0,76008.0,142341.0,73047.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>142341.0<br><b>Median wage: </b>76008.0<br><b>Min wage: </b>28958.0<br>
0011 - Legislators,,Quebec,0011,Legislators,0,,,,2016,29862.0,68237.0,129479.0,75483.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>129479.0<br><b>Median wage: </b>68237.0<br><b>Min wage: </b>29862.0<br>
0011 - Legislators,,Ontario,0011,Legislators,0,,,,2016,32724.0,70271.0,147964.0,81706.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>147964.0<br><b>Median wage: </b>70271.0<br><b>Min wage: </b>32724.0<br>
0011 - Legislators,,Manitoba,0011,Legislators,0,,,,2016,28431.0,53680.0,98750.0,55539.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>98750.0<br><b>Median wage: </b>53680.0<br><b>Min wage: </b>28431.0<br>
0011 - Legislators,,Saskatchewan,0011,Legislators,0,,,,2016,27446.0,51518.0,142704.0,63857.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>142704.0<br><b>Median wage: </b>51518.0<br><b>Min wage: </b>27446.0<br>
0011 - Legislators,,Alberta,0011,Legislators,0,,,,2016,31668.0,61316.0,153535.0,85124.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>153535.0<br><b>Median wage: </b>61316.0<br><b>Min wage: </b>31668.0<br>
0011 - Legislators,,British Columbia,0011,Legislators,0,,,,2016,32959.0,65769.0,144465.0,76368.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>144465.0<br><b>Median wage: </b>65769.0<br><b>Min wage: </b>32959.0<br>
0011 - Legislators,,Northwest Territories,0011,Legislators,0,,,,2016,48293.0,103029.0,168710.0,108285.0,2016 Census,2016,2022-11-16,<b>Max wage: </b>168710.0<br><b>Median wage: </b>103029.0<br><b>Min wage: </b>48293.0<br>
0012 - Senior government managers and officials,,Newfoundland and Labrador,0012,Senior government managers and officials,0,,,,2016,24.73,48.08,76.92,48.25,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>76.92<br><b>Median wage: </b>48.08<br><b>Min wage: </b>24.73<br>
0012 - Senior government managers and officials,,Nova Scotia,0012,Senior government managers and officials,0,,,,2016,24.73,57.69,76.92,53.97,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>76.92<br><b>Median wage: </b>57.69<br><b>Min wage: </b>24.73<br>
0012 - Senior government managers and officials,,New Brunswick,0012,Senior government managers and officials,0,,,,2016,33.33,45.0,73.76,47.44,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>73.76<br><b>Median wage: </b>45.0<br><b>Min wage: </b>33.33<br>
0012 - Senior government managers and officials,,Quebec,0012,Senior government managers and officials,0,,,,2016,28.0,49.15,66.48,49.11,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>66.48<br><b>Median wage: </b>49.15<br><b>Min wage: </b>28.0<br>
0012 - Senior government managers and officials,,Ontario,0012,Senior government managers and officials,0,,,,2016,20.0,57.0,84.62,57.79,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>84.62<br><b>Median wage: </b>57.0<br><b>Min wage: </b>20.0<br>
0012 - Senior government managers and officials,,Manitoba,0012,Senior government managers and officials,0,,,,2016,29.12,45.19,76.92,52.34,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>76.92<br><b>Median wage: </b>45.19<br><b>Min wage: </b>29.12<br>
0012 - Senior government managers and officials,,Saskatchewan,0012,Senior government managers and officials,0,,,,2016,27.44,40.0,56.82,39.57,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>56.82<br><b>Median wage: </b>40.0<br><b>Min wage: </b>27.44<br>
0012 - Senior government managers and officials,,Alberta,0012,Senior government managers and officials,0,,,,2016,44.02,65.93,106.48,74.31,Labour Force Survey,2020-2021,2022-11-16,<b>Max wage: </b>106.48<br><b>Median wage: </b>65.93<br><b>Min wage: </b>44.02<br>
